==========================================================================
|  #  |    SYMBOL    |      TYPE      |           VALUE           | LINE |
| 124 |            ) |        RBraket |                         ) |   25 |
| 125 |    STARTBLOK |          Start |                 STARTBLOK |   26 |
| 126 |              |     Identifier |                     _ccc2 |   27 |
| 127 |           <- |     Assignment |                        <- |   27 |
| 128 |              |         Number |                         0 |   27 |
| 129 |            ; |      Semicolon |                         ; |   27 |
| 130 |        WHILE |          While |                     WHILE |   28 |
| 131 |            ( |        LBraket |                         ( |   28 |
| 132 |              |     Identifier |                     _ccc2 |   28 |
| 133 |           LT |           Less |                        LT |   28 |
| 134 |              |     Identifier |                     _bbbb |   28 |
| 135 |            ) |        RBraket |                         ) |   28 |
| 136 |    STARTBLOK |          Start |                 STARTBLOK |   29 |
| 137 |              |     Identifier |                     _xxxx |   30 |
| 138 |           <- |     Assignment |                        <- |   30 |
| 139 |              |     Identifier |                     _xxxx |   30 |
| 140 |          ADD |       Addition |                       ADD |   30 |
| 141 |              |         Number |                         1 |   30 |
| 142 |            ; |      Semicolon |                         ; |   30 |
| 143 |              |     Identifier |                     _ccc2 |   31 |
| 144 |           <- |     Assignment |                        <- |   31 |
| 145 |              |     Identifier |                     _ccc2 |   31 |
| 146 |          ADD |       Addition |                       ADD |   31 |
| 147 |              |         Number |                         1 |   31 |
| 148 |            ; |      Semicolon |                         ; |   31 |
| 149 |      ENDBLOK |            End |                   ENDBLOK |   32 |
| 150 |              |     Identifier |                     _ccc1 |   33 |
| 151 |           <- |     Assignment |                        <- |   33 |
| 152 |              |     Identifier |                     _ccc1 |   33 |
| 153 |          ADD |       Addition |                       ADD |   33 |
| 154 |              |         Number |                         1 |   33 |
| 155 |            ; |      Semicolon |                         ; |   33 |
| 156 |      ENDBLOK |            End |                   ENDBLOK |   34 |
| 157 |        WRITE |          Write |                     WRITE |   35 |
| 158 |            ( |        LBraket |                         ( |   35 |
| 159 |              |     Identifier |                     _xxxx |   35 |
| 160 |            ) |        RBraket |                         ) |   35 |
| 161 |            ; |      Semicolon |                         ; |   35 |
| 162 |        WRITE |          Write |                     WRITE |   37 |
| 163 |            ( |        LBraket |                         ( |   37 |
| 164 |            " |         Quotes |                         " |   37 |
| 165 |              |         String |  \nREPEAT UNTIL A MUL B:  |   37 |
| 166 |            " |         Quotes |                         " |   37 |
| 167 |            ) |        RBraket |                         ) |   37 |
| 168 |            ; |      Semicolon |                         ; |   37 |
| 169 |              |     Identifier |                     _xxxx |   38 |
| 170 |           <- |     Assignment |                        <- |   38 |
| 171 |              |         Number |                         0 |   38 |
| 172 |            ; |      Semicolon |                         ; |   38 |
| 173 |              |     Identifier |                     _ccc1 |   39 |
| 174 |           <- |     Assignment |                        <- |   39 |
| 175 |              |         Number |                         1 |   39 |
| 176 |            ; |      Semicolon |                         ; |   39 |
| 177 |       REPEAT |         Repeat |                    REPEAT |   40 |
| 178 |              |     Identifier |                     _ccc2 |   41 |
| 179 |           <- |     Assignment |                        <- |   41 |
| 180 |              |         Number |                         1 |   41 |
| 181 |            ; |      Semicolon |                         ; |   41 |
| 182 |       REPEAT |         Repeat |                    REPEAT |   42 |
| 183 |              |     Identifier |                     _xxxx |   43 |
| 184 |           <- |     Assignment |                        <- |   43 |
| 185 |              |     Identifier |                     _xxxx |   43 |
| 186 |          ADD |       Addition |                       ADD |   43 |
| 187 |              |         Number |                         1 |   43 |
| 188 |            ; |      Semicolon |                         ; |   43 |
| 189 |              |     Identifier |                     _ccc2 |   44 |
| 190 |           <- |     Assignment |                        <- |   44 |
| 191 |              |     Identifier |                     _ccc2 |   44 |
| 192 |          ADD |       Addition |                       ADD |   44 |
| 193 |              |         Number |                         1 |   44 |
| 194 |            ; |      Semicolon |                         ; |   44 |
| 195 |        UNTIL |          Until |                     UNTIL |   45 |
| 196 |            ( |        LBraket |                         ( |   45 |
| 197 |            ! |            Not |                         ! |   45 |
| 198 |            ( |        LBraket |                         ( |   45 |
| 199 |              |     Identifier |                     _ccc2 |   45 |
| 200 |           GT |         Greate |                        GT |   45 |
| 201 |              |     Identifier |                     _bbbb |   45 |
| 202 |            ) |        RBraket |                         ) |   45 |
| 203 |            ) |        RBraket |                         ) |   45 |
| 204 |              |     Identifier |                     _ccc1 |   46 |
| 205 |           <- |     Assignment |                        <- |   46 |
| 206 |              |     Identifier |                     _ccc1 |   46 |
| 207 |          ADD |       Addition |                       ADD |   46 |
| 208 |              |         Number |                         1 |   46 |
| 209 |            ; |      Semicolon |                         ; |   46 |
| 210 |        UNTIL |          Until |                     UNTIL |   47 |
| 211 |            ( |        LBraket |                         ( |   47 |
| 212 |            ! |            Not |                         ! |   47 |
| 213 |            ( |        LBraket |                         ( |   47 |
| 214 |              |     Identifier |                     _ccc1 |   47 |
| 215 |           GT |         Greate |                        GT |   47 |
| 216 |              |     Identifier |                     _aaaa |   47 |
| 217 |            ) |        RBraket |                         ) |   47 |
| 218 |            ) |        RBraket |                         ) |   47 |
| 219 |        WRITE |          Write |                     WRITE |   48 |
| 220 |            ( |        LBraket |                         ( |   48 |
| 221 |              |     Identifier |                     _xxxx |   48 |
| 222 |            ) |        RBraket |                         ) |   48 |
| 223 |            ; |      Semicolon |                         ; |   48 |
| 224 |      ENDBLOK |            End |                   ENDBLOK |   50 |
| 225 |              |      EndOfFile |                           |   -1 |
==========================================================================
